,path,label
10675,VERSACE\WOMEN\BAGS\Shoulder Bags\Virtus Evening Bag\white\image_4.jpg,VERSACE-WOMEN-BAGS-Shoulder Bags-Virtus Evening Bag-white
671,Burberry_men\MEN\SHOES\Sneakers\Leather and House Check High-top Sneakers\OPTIC WHITE\image_0.jpg,Burberry_men-MEN-SHOES-Sneakers-Leather and House Check High-top Sneakers-OPTIC WHITE
7289,D_G\D&G\WOMEN\SHOES\Rainbow Lace\SLIPPERS IN LACE WITH CRYSTALS\GREY\image_2.jpg,D_G-D&G-WOMEN-SHOES-Rainbow Lace-SLIPPERS IN LACE WITH CRYSTALS-GREY
11517,VERSACE\WOMEN\SMALL LEATHER GOODS\Virtus Leather Pouch\brown\image_3.jpg,VERSACE-WOMEN-SMALL LEATHER GOODS-Virtus Leather Pouch-brown
7050,D_G\D&G\WOMEN\SHOES\DNA\ANKLE BOOTS IN STRETCH LACE AND GROSGRAIN\BLACK\image_3.jpg,D_G-D&G-WOMEN-SHOES-DNA-ANKLE BOOTS IN STRETCH LACE AND GROSGRAIN-BLACK
5797,D_G\D&G\WOMEN\BAGS\Devotion\MEDIUM MATELASSÉ NAPPA LEATHER DEVOTION BAG\GREEN\image_2.jpg,D_G-D&G-WOMEN-BAGS-Devotion-MEDIUM MATELASSÉ NAPPA LEATHER DEVOTION BAG-GREEN
12884,YSL\YSL\SACS\LOU\Lou sac caméra en cuir matelassé\NOIR\image_-1.jpg,YSL-YSL-SACS-LOU-Lou sac caméra en cuir matelassé-NOIR
4218,CHANEL WATCHES\__MACOSX\CHANEL WATCHES\Monsieur\._H4799-dos-0-3080-grey-nocrop-1589951311447.jpg,CHANEL WATCHES-__MACOSX-CHANEL WATCHES-Monsieur
1124,Chanel\Bag (v.2)\Boy handbag\Large boy handbag\Navy blue\navy_colour_chanel_boy_1549611431_ef1305040_progressive.jpg,Chanel-Bag (v.2)-Boy handbag-Large boy handbag-Navy blue
3197,CHANEL WATCHES\CHANEL WATCHES\J12\Black\7266186.jpg,CHANEL WATCHES-CHANEL WATCHES-J12-Black
7863,Givenchy\MEN\BAGS\CROSS-BODY BAGS\GIVENCHY DOWNTOWN FLAT CROSSBODY BAG IN NYLON\Black\BK5063K0S9001-02-02.jpg,Givenchy-MEN-BAGS-CROSS-BODY BAGS-GIVENCHY DOWNTOWN FLAT CROSSBODY BAG IN NYLON-Black
12886,YSL\YSL\SACS\LOU\Lou sac caméra en cuir matelassé\NOIR\image_1.jpg,YSL-YSL-SACS-LOU-Lou sac caméra en cuir matelassé-NOIR
6884,D_G\D&G\WOMEN\BELTS\LUXURY LEATHER DEVOTION BELT\RED\image_1.jpg,D_G-D&G-WOMEN-BELTS-LUXURY LEATHER DEVOTION BELT-RED
2333,Chanel\Bag (v.2)\Flap bag\Small flap bag\black 2\imaghges.jpg,Chanel-Bag (v.2)-Flap bag-Small flap bag-black 2
